epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,862.478,1.84992,2.53752,1.71576,0.34811,0.36922,0.28285,0.10853,1.61481,7.92779,1.46513,0.000555344,0.000555344,0.000555344
2,1682.79,1.881,2.19607,1.71305,0.4419,0.41404,0.36705,0.16037,1.55017,6.64467,1.41433,0.001108,0.001108,0.001108
3,2501.14,1.85683,2.13259,1.68759,0.42063,0.40027,0.34353,0.14528,1.484,4.21389,1.33825,0.00164865,0.00164865,0.00164865
4,3308.02,1.79637,2.02097,1.65239,0.48843,0.46581,0.4483,0.2077,1.41076,3.56649,1.27498,0.00162661,0.00162661,0.00162661
5,4109.6,1.74249,1.9206,1.60578,0.54467,0.47076,0.47434,0.22697,1.41007,4.10175,1.28047,0.00159566,0.00159566,0.00159566
6,4909.03,1.71926,1.86553,1.58657,0.56092,0.50573,0.52075,0.25366,1.34069,3.09166,1.21708,0.00155645,0.00155645,0.00155645
7,5719.73,1.68854,1.81135,1.56392,0.53556,0.54009,0.52601,0.25832,1.33677,4.22489,1.21351,0.00150941,0.00150941,0.00150941
8,6530.15,1.64794,1.75145,1.54094,0.57498,0.53728,0.55678,0.28148,1.31077,3.28379,1.20415,0.00145505,0.00145505,0.00145505
9,7359.2,1.64067,1.71072,1.54035,0.6221,0.56196,0.60119,0.31394,1.29084,3.54312,1.18569,0.00139398,0.00139398,0.00139398
10,8187.82,1.6104,1.64724,1.50954,0.62526,0.56905,0.60627,0.31787,1.27825,3.14018,1.17502,0.00132685,0.00132685,0.00132685
11,9010.45,1.60087,1.62433,1.50439,0.6435,0.57261,0.62238,0.33122,1.25991,3.05355,1.16957,0.00125442,0.00125442,0.00125442
12,9821.64,1.5817,1.58727,1.48858,0.64142,0.58661,0.63686,0.33328,1.25152,2.37446,1.14844,0.00117746,0.00117746,0.00117746
13,10650.5,1.5689,1.55793,1.47963,0.64009,0.58609,0.63215,0.33682,1.22567,2.30424,1.14031,0.00109683,0.00109683,0.00109683
14,11470.4,1.54221,1.53579,1.46283,0.67772,0.592,0.65289,0.35094,1.23855,2.3939,1.14566,0.0010134,0.0010134,0.0010134
15,12287.7,1.52584,1.49112,1.45326,0.66614,0.61119,0.66356,0.35976,1.22076,2.30744,1.1289,0.000928088,0.000928088,0.000928088
16,13084.2,1.50728,1.45174,1.43944,0.67483,0.62204,0.67739,0.36389,1.21941,2.24067,1.12369,0.000841835,0.000841835,0.000841835
17,13889.8,1.49898,1.44038,1.43304,0.66773,0.6225,0.6751,0.37068,1.19703,2.31834,1.10662,0.000755582,0.000755582,0.000755582
18,14704.8,1.4725,1.40191,1.41616,0.69593,0.63288,0.69443,0.37918,1.20172,1.94386,1.10908,0.000670274,0.000670274,0.000670274
19,15495.6,1.46254,1.38048,1.40868,0.69218,0.63132,0.69603,0.38845,1.17382,1.93901,1.08922,0.000586845,0.000586845,0.000586845
20,16277,1.44011,1.33594,1.39303,0.70454,0.63496,0.70245,0.39245,1.1767,1.8634,1.09196,0.00050621,0.00050621,0.00050621
21,17042.5,1.4702,1.26258,1.40885,0.70393,0.62413,0.69578,0.38663,1.18392,1.65079,1.09206,0.000429253,0.000429253,0.000429253
22,17800.5,1.44385,1.22091,1.39536,0.71857,0.63879,0.71078,0.39798,1.17021,1.58623,1.08122,0.000356815,0.000356815,0.000356815
23,18563.9,1.42911,1.17317,1.38646,0.72808,0.64624,0.72141,0.40735,1.14689,1.57974,1.07369,0.000289692,0.000289692,0.000289692
24,19319.9,1.40357,1.14071,1.37349,0.7302,0.64466,0.7241,0.40869,1.15328,1.45956,1.07532,0.000228618,0.000228618,0.000228618
25,20074.1,1.39068,1.12384,1.35988,0.7284,0.65211,0.72536,0.41297,1.14738,1.30723,1.06695,0.000174262,0.000174262,0.000174262
26,20825.9,1.37747,1.10091,1.34897,0.72811,0.65311,0.72936,0.41442,1.15031,1.34447,1.07085,0.000127221,0.000127221,0.000127221
27,21575.3,1.36171,1.07515,1.34386,0.7407,0.64892,0.73131,0.41762,1.14418,1.33025,1.06508,8.80093e-05,8.80093e-05,8.80093e-05
28,22326.3,1.34605,1.0588,1.33657,0.73103,0.66099,0.73521,0.42105,1.13677,1.32867,1.06014,5.70564e-05,5.70564e-05,5.70564e-05
29,23076.7,1.34293,1.04663,1.32576,0.734,0.65745,0.7361,0.4207,1.13891,1.34633,1.06191,3.47018e-05,3.47018e-05,3.47018e-05
30,23826.6,1.33547,1.02328,1.32767,0.73985,0.65674,0.73797,0.42236,1.13897,1.32687,1.06228,2.11903e-05,2.11903e-05,2.11903e-05
